claim_id,source_name,source_status,source_url,court_or_agency,state,county_or_district,case_number,case_name,debtor_name,claimant_name,claimant_type,amount,fund_type,date_deposited,last_updated,claim_process_url,raw_text,raw_file_path,fetched_at
ucfl-fixture001,U.S. Courts Bankruptcy Unclaimed Funds Locator [FIXTURE],UNKNOWN,https://example.invalid/fixture/ucfl,Bankr. S.D. Demo,TX,Bankr. S.D. Demo,0:00-bk-90001-DEMO,In re Demo Debtor 001 Corp,DEMO DEBTOR 001 CORP,MERIDIAN FIXTURE FREIGHT LINES INC,business,18400,bankruptcy_unclaimed_funds,2011-02-15,2026-06-30,https://www.uscourts.gov/court-programs/bankruptcy/unclaimed-funds-bankruptcy,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/bankruptcy_ucfl.json,2026-07-07T00:00:00Z
ucfl-fixture017,U.S. Courts Bankruptcy Unclaimed Funds Locator [FIXTURE],UNKNOWN,https://example.invalid/fixture/ucfl,Bankr. C.D. Demo,NY,Bankr. C.D. Demo,0:00-bk-90017-DEMO,In re Demo Debtor 017 Corp,DEMO DEBTOR 017 CORP,APEX FIXTURE BENEFIT ADMINISTRATORS INC,business,13500,bankruptcy_unclaimed_funds,2015-09-15,2026-06-30,https://www.uscourts.gov/court-programs/bankruptcy/unclaimed-funds-bankruptcy,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/bankruptcy_ucfl.json,2026-07-07T00:00:00Z
ucfl-fixture018,U.S. Courts Bankruptcy Unclaimed Funds Locator [FIXTURE],UNKNOWN,https://example.invalid/fixture/ucfl,Bankr. E.D. Demo,NJ,Bankr. E.D. Demo,0:00-bk-90018-DEMO,In re Demo Debtor 018 Corp,DEMO DEBTOR 018 CORP,STERLING DEMO CAPITAL GROUP LLC,business,52600,bankruptcy_unclaimed_funds,2016-01-15,2026-06-30,https://www.uscourts.gov/court-programs/bankruptcy/unclaimed-funds-bankruptcy,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/bankruptcy_ucfl.json,2026-07-07T00:00:00Z
ucfl-fixture019,U.S. Courts Bankruptcy Unclaimed Funds Locator [FIXTURE],UNKNOWN,https://example.invalid/fixture/ucfl,Bankr. W.D. Demo,MI,Bankr. W.D. Demo,0:00-bk-90019-DEMO,In re Demo Debtor 019 Corp,DEMO DEBTOR 019 CORP,PRAIRIE FIXTURE PROPERTIES LTD,business,7750,bankruptcy_unclaimed_funds,2017-02-15,2026-06-30,https://www.uscourts.gov/court-programs/bankruptcy/unclaimed-funds-bankruptcy,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/bankruptcy_ucfl.json,2026-07-07T00:00:00Z
ucfl-fixture020,U.S. Courts Bankruptcy Unclaimed Funds Locator [FIXTURE],UNKNOWN,https://example.invalid/fixture/ucfl,Bankr. N.D. Demo,OH,Bankr. N.D. Demo,0:00-bk-90020-DEMO,In re Demo Debtor 020 Corp,DEMO DEBTOR 020 CORP,HARVEST DEMO REALTY HOLDINGS LLC,business,16200,bankruptcy_unclaimed_funds,2018-03-15,2026-06-30,https://www.uscourts.gov/court-programs/bankruptcy/unclaimed-funds-bankruptcy,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/bankruptcy_ucfl.json,2026-07-07T00:00:00Z
ucfl-fixture021,U.S. Courts Bankruptcy Unclaimed Funds Locator [FIXTURE],UNKNOWN,https://example.invalid/fixture/ucfl,Bankr. S.D. Demo,TX,Bankr. S.D. Demo,0:00-bk-90021-DEMO,In re Demo Debtor 021 Corp,DEMO DEBTOR 021 CORP,FOUNDRY FIXTURE VENTURES INC,business,10400,bankruptcy_unclaimed_funds,2019-04-15,2026-06-30,https://www.uscourts.gov/court-programs/bankruptcy/unclaimed-funds-bankruptcy,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/bankruptcy_ucfl.json,2026-07-07T00:00:00Z
ucfl-fixture022,U.S. Courts Bankruptcy Unclaimed Funds Locator [FIXTURE],UNKNOWN,https://example.invalid/fixture/ucfl,Bankr. C.D. Demo,PA,Bankr. C.D. Demo,0:00-bk-90022-DEMO,In re Demo Debtor 022 Corp,DEMO DEBTOR 022 CORP,BEACON DEMO ENTERPRISES CORP,business,8100,bankruptcy_unclaimed_funds,2020-05-15,2026-06-30,https://www.uscourts.gov/court-programs/bankruptcy/unclaimed-funds-bankruptcy,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/bankruptcy_ucfl.json,2026-07-07T00:00:00Z
ucfl-fixture023,U.S. Courts Bankruptcy Unclaimed Funds Locator [FIXTURE],UNKNOWN,https://example.invalid/fixture/ucfl,Bankr. E.D. Demo,CA,Bankr. E.D. Demo,0:00-bk-90023-DEMO,In re Demo Debtor 023 Corp,DEMO DEBTOR 023 CORP,CANYON FIXTURE ASSOCIATES LLP,business,21800,bankruptcy_unclaimed_funds,2021-06-15,2026-06-30,https://www.uscourts.gov/court-programs/bankruptcy/unclaimed-funds-bankruptcy,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/bankruptcy_ucfl.json,2026-07-07T00:00:00Z
ucfl-fixture024,U.S. Courts Bankruptcy Unclaimed Funds Locator [FIXTURE],UNKNOWN,https://example.invalid/fixture/ucfl,Bankr. W.D. Demo,GA,Bankr. W.D. Demo,0:00-bk-90024-DEMO,In re Demo Debtor 024 Corp,DEMO DEBTOR 024 CORP,WHARF DEMO TRADING COMPANY,business,14750,bankruptcy_unclaimed_funds,2010-07-15,2026-06-30,https://www.uscourts.gov/court-programs/bankruptcy/unclaimed-funds-bankruptcy,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/bankruptcy_ucfl.json,2026-07-07T00:00:00Z
ucfl-fixture025,U.S. Courts Bankruptcy Unclaimed Funds Locator [FIXTURE],UNKNOWN,https://example.invalid/fixture/ucfl,Bankr. N.D. Demo,IL,Bankr. N.D. Demo,0:00-bk-90025-DEMO,In re Demo Debtor 025 Corp,DEMO DEBTOR 025 CORP,ORCHARD FIXTURE FUND LP,business,36900,bankruptcy_unclaimed_funds,2011-08-15,2026-06-30,https://www.uscourts.gov/court-programs/bankruptcy/unclaimed-funds-bankruptcy,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/bankruptcy_ucfl.json,2026-07-07T00:00:00Z
ucfl-fixture026,U.S. Courts Bankruptcy Unclaimed Funds Locator [FIXTURE],UNKNOWN,https://example.invalid/fixture/ucfl,Bankr. S.D. Demo,FL,Bankr. S.D. Demo,0:00-bk-90026-DEMO,In re Demo Debtor 026 Corp,DEMO DEBTOR 026 CORP,MILLRACE DEMO GROUP INC,business,6800,bankruptcy_unclaimed_funds,2012-09-15,2026-06-30,https://www.uscourts.gov/court-programs/bankruptcy/unclaimed-funds-bankruptcy,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/bankruptcy_ucfl.json,2026-07-07T00:00:00Z
